filename	churn	size	minor	major	total	ownership	defects
src/test/compile-fail/const-len-underflow-separate-spans.rs	22	24	0	7	7	0.3333333333333333	0
src/test/run-pass/macro-delimiter-significance.rs	4	13	0	2	2	0.5	0
src/test/compile-fail/issue-5997-struct.rs	13	20	0	4	4	0.4	0
src/test/compile-fail/E0527.rs	36	22	0	4	4	0.4	0
src/tools/error_index_generator/main.rs	160	211	0	6	6	0.3076923076923077	3
src/test/run-pass/project-cache-issue-37154.rs	28	28	0	1	1	1.0	0
src/test/parse-fail/lex-bare-cr-string-literal-doc-comment.rs	10	32	0	4	4	0.4	0
src/test/compile-fail/type-params-in-different-spaces-1.rs	21	28	0	3	3	0.3333333333333333	0
src/librustc/ty/structural_impls.rs	2685	958	19	4	23	0.3076923076923077	0
src/test/codegen-units/item-collection/auxiliary/cgu_export_trait_method.rs	0	34	0	1	1	1.0	0
src/libsyntax/ext/tt/macro_rules.rs	4228	843	23	2	25	0.30275229357798167	8
src/libstd/os/nacl/raw.rs	46	56	0	3	3	0.5	0
src/test/run-pass-fulldeps/auxiliary/plugin_args.rs	61	53	0	8	8	0.3125	0
src/test/ui/did_you_mean/issue-36798_unknown_field.stderr	8	7	0	1	1	1.0	0
src/libstd/sys/redox/ext/fs.rs	298	298	0	1	1	1.0	0
src/test/compile-fail/reserved-become.rs	6	14	0	3	3	0.3333333333333333	0
src/test/run-pass/associated-types-iterator-binding.rs	8	28	0	4	4	0.25	0
src/test/compile-fail/closure-bounds-subtype.rs	10	27	0	4	4	0.4	0
src/test/compile-fail/issue-18119.rs	12	22	0	2	2	0.5	0
src/test/compile-fail/static-array-across-crate.rs	14	27	0	2	2	0.5	0
src/librustc_typeck/check/op.rs	1821	476	13	4	17	0.2857142857142857	7
src/test/compile-fail/auxiliary/unreachable_variant.rs	0	15	0	1	1	1.0	0
src/test/run-pass/swap-2.rs	8	23	0	4	4	0.25	0
src/test/ui/span/issue28498-reject-trait-bound.rs	50	50	0	1	1	1.0	0
src/test/compile-fail/const-slice-oob.rs	22	18	0	5	5	0.375	0
mk/cfg/powerpc-unknown-linux-gnu.mk	6	24	0	3	3	0.3333333333333333	0
src/test/rustdoc/ffi.rs	8	22	0	1	1	1.0	0
src/test/compile-fail/E0004.rs	22	22	0	1	1	1.0	0
src/test/compile-fail/mir-dataflow/uninits-1.rs	75	62	0	6	6	0.3	0
src/libcore/num/mod.rs	4280	2839	23	5	28	0.36082474226804123	8
src/test/compile-fail/use-mod-4.rs	6	14	0	1	1	1.0	0
src/libstd/sync/mpsc/sync.rs	197	528	0	7	7	0.4	0
src/test/compile-fail/unsized-trait-impl-self-type.rs	4	23	0	2	2	0.5	0
src/test/codegen-units/partitioning/vtable-through-const.rs	105	92	0	5	5	0.42857142857142855	0
src/test/rustdoc/recursion3.rs	4	23	0	2	2	0.5	0
src/librustc_incremental/calculate_svh/mod.rs	1193	246	6	7	13	0.3018867924528302	0
src/test/compile-fail/mut-pattern-mismatched.rs	56	30	0	6	6	0.2727272727272727	0
src/test/ui/span/issue-24356.rs	41	41	0	1	1	1.0	0
src/test/compile-fail/use-keyword.rs	56	28	0	3	3	0.5	0
src/test/run-pass/unboxed-closures-single-word-env.rs	12	31	0	4	4	0.25	0
COMPILER_TESTS.md	90	84	0	4	4	0.5	0
src/test/compile-fail/extern-with-type-bounds.rs	4	30	0	2	2	0.5	0
src/test/compile-fail/E0118.rs	23	20	0	4	4	0.4	0
src/test/run-pass/rec-align-u32.rs	28	63	0	3	3	0.5	0
src/test/compile-fail/issue-11319.rs	27	22	0	3	3	0.3333333333333333	0
src/test/run-pass/long-while.rs	6	21	0	3	3	0.3333333333333333	0
src/doc/book/concurrency.md	510	465	12	4	16	0.3333333333333333	0
src/Cargo.lock	1266	686	6	4	10	0.34615384615384615	64
src/libstd/os/mod.rs	47	38	0	10	10	0.3888888888888889	0
src/test/compile-fail/issue-7044.rs	4	14	0	2	2	0.5	0
src/test/run-pass/issue-28839.rs	8	24	0	4	4	0.25	0
src/test/run-fail/mir_trans_calls_diverging_drops.rs	50	34	0	4	4	0.5714285714285714	0
src/test/codegen-units/partitioning/auxiliary/cgu_generic_function.rs	0	36	0	1	1	1.0	0
src/test/compile-fail/on-unimplemented/multiple-impls.rs	88	58	0	5	5	0.375	0
src/test/run-fail/panic-task-name-owned.rs	42	27	0	5	5	0.3333333333333333	0
src/test/run-pass/issue-11577.rs	4	27	0	2	2	0.5	0
src/test/compile-fail/dst-bad-coerce4.rs	21	25	0	3	3	0.3333333333333333	0
src/test/compile-fail/method-self-arg-1.rs	58	29	0	6	6	0.2727272727272727	0
src/rustllvm/rustllvm.h	149	133	0	8	8	0.3076923076923077	2
src/libsyntax/parse/token.rs	3202	334	22	3	25	0.3291139240506329	3
README.md	859	202	27	3	30	0.25	10
src/test/run-pass/discriminant_value-wrapper.rs	28	27	0	1	1	1.0	0
src/test/compile-fail/generic-no-mangle.rs	16	19	0	2	2	0.5	0
src/test/run-fail/never-associated-type.rs	27	33	0	1	1	1.0	0
src/test/run-make/rustc-macro-dep-files/foo.rs	24	24	0	1	1	1.0	0
src/etc/platform-intrinsics/x86/fma.json	50	48	0	3	3	0.5	0
src/vendor/toml/tests/valid/raw-multiline-string.json	14	14	0	1	1	1.0	0
src/libcore/num/float_macros.rs	282	20	0	2	2	0.5	0
src/test/compile-fail/issue-21174.rs	8	21	0	3	3	0.5	0
src/test/compile-fail/deriving-no-inner-impl-error-message.rs	10	25	0	4	4	0.4	0
src/test/run-pass/auxiliary/reexport-should-still-link.rs	0	15	0	1	1	1.0	0
src/test/compile-fail/issue-11004.rs	55	39	0	4	4	0.4	0
